Dates,Prices
2025-05-21,103.07
2025-05-22,102.13
2025-05-23,100.05
2025-05-24,100.37
2025-05-25,99.61
2025-05-26,99.24
2025-05-27,98.68
2025-05-28,98.59
2025-05-29,99.7
2025-05-30,99.91
2025-05-31,99.8
2025-06-01,98.82
2025-06-02,97.19
2025-06-03,96.76
2025-06-04,96.75
2025-06-05,98.57
2025-06-06,98.75
2025-06-07,99.78
2025-06-08,99.33
2025-06-09,98.2
2025-06-10,97.28
2025-06-11,96.61
2025-06-12,98.79
2025-06-13,98.02
2025-06-14,98.9
2025-06-15,98.05
2025-06-16,99.03
2025-06-17,99.47
2025-06-18,99.36
2025-06-19,99.37
2025-06-20,98.77
2025-06-21,99.26
2025-06-22,98.86
2025-06-23,97.68
2025-06-24,96.45
2025-06-25,96.68
2025-06-26,98.31
2025-06-27,98.52
2025-06-28,98.45
2025-06-29,98.78
2025-06-30,100.14
2025-07-01,100.41
2025-07-02,100.05
2025-07-03,101.2
2025-07-04,101.68
2025-07-05,103.27
2025-07-06,103.5
2025-07-07,102.33
2025-07-08,101.01
2025-07-09,102.71
2025-07-10,104.48
2025-07-11,104.35
2025-07-12,104.02
2025-07-13,105.53
2025-07-14,104.47
2025-07-15,103.63
2025-07-16,104.32
2025-07-17,103.98
2025-07-18,104.02
2025-07-19,103.91
2025-07-20,104.3
2025-07-21,105.75
2025-07-22,105.9
2025-07-23,106.59
2025-07-24,104.59
2025-07-25,104.59
2025-07-26,103.8
2025-07-27,102.63
2025-07-28,101.8
2025-07-29,101.52
2025-07-30,102.48
2025-07-31,101.21
2025-08-01,101.29
2025-08-02,100.85
2025-08-03,100.57
2025-08-04,101.63
2025-08-05,102.22
2025-08-06,103.6
2025-08-07,103.5
2025-08-08,102.85
2025-08-09,102.68
2025-08-10,102.97
2025-08-11,103.2
2025-08-12,102.16
2025-08-13,102.3
2025-08-14,102.58
2025-08-15,105.15
2025-08-16,107.08
2025-08-17,106.27
2025-08-18,106.04
2025-08-19,104.62
2025-08-20,104.08
2025-08-21,104.45
2025-08-22,105.7
2025-08-23,105.02
2025-08-24,104.42
2025-08-25,102.32
2025-08-26,102.21
2025-08-27,101.2
2025-08-28,100.72
2025-08-29,99.89
2025-08-30,99.85
2025-08-31,98.14
2025-09-01,96.72
2025-09-02,98.9
2025-09-03,97.66
2025-09-04,96.62
2025-09-05,98.5
2025-09-06,101.46
2025-09-07,100.34
2025-09-08,100.02
2025-09-09,100.41
2025-09-10,102.19
2025-09-11,101.25
2025-09-12,101.06
2025-09-13,101.88
2025-09-14,102.37
2025-09-15,102.04
2025-09-16,101.96
2025-09-17,100.63
2025-09-18,100.45
2025-09-19,100.23
2025-09-20,100.51
2025-09-21,100.01
2025-09-22,100.53
2025-09-23,101.59
2025-09-24,101.8
2025-09-25,102.2
2025-09-26,102.3
2025-09-27,102.35
2025-09-28,101.68
2025-09-29,102.05
2025-09-30,102.0
2025-10-01,104.14
2025-10-02,105.77
2025-10-03,106.2
2025-10-04,105.49
2025-10-05,104.43
2025-10-06,105.67
2025-10-07,105.98
2025-10-08,106.51
2025-10-09,104.82
2025-10-10,105.79
2025-10-11,106.3
2025-10-12,105.24
2025-10-13,104.82
2025-10-14,105.13
2025-10-15,105.23
2025-10-16,104.99
2025-10-17,104.94
2025-10-18,104.73
2025-10-19,104.94
2025-10-20,106.46
2025-10-21,103.94
2025-10-22,103.75
2025-10-23,103.98
2025-10-24,104.33
2025-10-25,104.01
2025-10-26,102.3
2025-10-27,102.68
2025-10-28,104.45
2025-10-29,102.97
2025-10-30,103.88
2025-10-31,103.61
2025-11-01,103.59
2025-11-02,102.59
2025-11-03,102.31
2025-11-04,103.66
2025-11-05,104.29
2025-11-06,106.07
2025-11-07,107.3
2025-11-08,107.79
2025-11-09,109.58
2025-11-10,110.07
2025-11-11,110.95
2025-11-12,110.7
2025-11-13,110.82
2025-11-14,110.17
2025-11-15,111.21
2025-11-16,110.08
2025-11-17,110.92
2025-11-18,110.77
2025-11-19,112.0
2025-11-20,112.8
2025-11-21,114.67
2025-11-22,115.45
2025-11-23,113.93
2025-11-24,113.91
2025-11-25,112.79
2025-11-26,112.32
2025-11-27,113.88
2025-11-28,114.57
2025-11-29,113.92
2025-11-30,112.95
2025-12-01,113.04
2025-12-02,111.87
2025-12-03,111.25
2025-12-04,111.61
2025-12-05,112.82
2025-12-06,113.48
2025-12-07,111.23
2025-12-08,111.59
2025-12-09,111.71
2025-12-10,112.17
2025-12-11,113.84
2025-12-12,111.83
2025-12-13,111.29
2025-12-14,111.93
2025-12-15,110.4
2025-12-16,111.92
2025-12-17,112.34
2025-12-18,113.24
2025-12-19,112.72
2025-12-20,113.58
2025-12-21,114.7
2025-12-22,114.98
2025-12-23,115.27
2025-12-24,115.59
2025-12-25,114.77
2025-12-26,114.68
2025-12-27,114.57
2025-12-28,115.01
2025-12-29,116.06
2025-12-30,115.05
2025-12-31,114.97
