Dates,Prices
2025-05-24,119.39
2025-05-25,118.91
2025-05-26,119.0
2025-05-27,118.75
2025-05-28,119.17
2025-05-29,120.88
2025-05-30,120.98
2025-05-31,120.37
2025-06-01,122.95
2025-06-02,122.01
2025-06-03,122.06
2025-06-04,122.09
2025-06-05,120.87
2025-06-06,121.71
2025-06-07,122.83
2025-06-08,122.8
2025-06-09,122.9
2025-06-10,122.79
2025-06-11,121.08
2025-06-12,121.37
2025-06-13,120.18
2025-06-14,119.27
2025-06-15,119.72
2025-06-16,120.69
2025-06-17,119.88
2025-06-18,121.07
2025-06-19,122.88
2025-06-20,123.11
2025-06-21,123.08
2025-06-22,123.33
2025-06-23,122.98
2025-06-24,122.18
2025-06-25,122.88
2025-06-26,123.65
2025-06-27,123.2
2025-06-28,122.85
2025-06-29,122.28
2025-06-30,121.63
2025-07-01,120.72
2025-07-02,119.27
2025-07-03,120.22
2025-07-04,119.93
2025-07-05,120.05
2025-07-06,121.89
2025-07-07,121.46
2025-07-08,122.09
2025-07-09,120.79
2025-07-10,120.22
2025-07-11,120.96
2025-07-12,120.75
2025-07-13,119.37
2025-07-14,117.89
2025-07-15,118.27
2025-07-16,117.39
2025-07-17,118.11
2025-07-18,118.42
2025-07-19,118.15
2025-07-20,118.13
2025-07-21,118.91
2025-07-22,118.99
2025-07-23,118.09
2025-07-24,118.46
2025-07-25,118.15
2025-07-26,117.96
2025-07-27,118.57
2025-07-28,118.93
2025-07-29,119.98
2025-07-30,119.84
2025-07-31,119.43
2025-08-01,119.13
2025-08-02,119.55
2025-08-03,118.8
2025-08-04,118.48
2025-08-05,117.69
2025-08-06,116.97
2025-08-07,116.84
2025-08-08,119.26
2025-08-09,118.93
2025-08-10,119.22
2025-08-11,119.36
2025-08-12,119.24
2025-08-13,119.31
2025-08-14,121.28
2025-08-15,121.07
2025-08-16,122.69
2025-08-17,123.37
2025-08-18,122.57
2025-08-19,121.98
2025-08-20,121.58
2025-08-21,120.56
2025-08-22,121.73
2025-08-23,122.18
2025-08-24,122.75
2025-08-25,121.79
2025-08-26,122.3
2025-08-27,121.82
2025-08-28,124.24
2025-08-29,124.2
2025-08-30,124.53
2025-08-31,124.98
2025-09-01,124.57
2025-09-02,124.23
2025-09-03,123.9
2025-09-04,124.78
2025-09-05,124.12
2025-09-06,124.01
2025-09-07,124.38
2025-09-08,124.03
2025-09-09,122.75
2025-09-10,121.64
2025-09-11,121.28
2025-09-12,120.39
2025-09-13,121.37
2025-09-14,121.43
2025-09-15,121.45
2025-09-16,120.51
2025-09-17,121.07
2025-09-18,120.77
2025-09-19,119.88
2025-09-20,119.31
2025-09-21,121.66
2025-09-22,121.11
2025-09-23,120.31
2025-09-24,121.47
2025-09-25,122.23
2025-09-26,121.99
2025-09-27,123.37
2025-09-28,121.99
2025-09-29,121.56
2025-09-30,120.01
2025-10-01,121.37
2025-10-02,121.45
2025-10-03,124.0
2025-10-04,124.48
2025-10-05,124.98
2025-10-06,123.91
2025-10-07,122.79
2025-10-08,122.34
2025-10-09,123.24
2025-10-10,122.24
2025-10-11,119.94
2025-10-12,120.77
2025-10-13,121.66
2025-10-14,120.76
2025-10-15,121.18
2025-10-16,122.26
2025-10-17,123.38
2025-10-18,121.83
2025-10-19,121.87
2025-10-20,121.1
2025-10-21,122.0
2025-10-22,122.06
2025-10-23,120.85
2025-10-24,120.91
2025-10-25,121.44
2025-10-26,119.89
2025-10-27,118.52
2025-10-28,117.81
2025-10-29,117.45
2025-10-30,116.84
2025-10-31,115.0
2025-11-01,113.4
2025-11-02,113.3
2025-11-03,113.64
2025-11-04,112.71
2025-11-05,112.8
2025-11-06,114.58
2025-11-07,114.31
2025-11-08,113.83
2025-11-09,113.08
2025-11-10,113.49
2025-11-11,113.67
2025-11-12,113.88
2025-11-13,113.47
2025-11-14,113.84
2025-11-15,114.22
2025-11-16,114.05
2025-11-17,115.16
2025-11-18,113.62
2025-11-19,114.31
2025-11-20,114.17
2025-11-21,114.98
2025-11-22,116.84
2025-11-23,116.89
2025-11-24,116.7
2025-11-25,116.69
2025-11-26,118.06
2025-11-27,119.58
2025-11-28,119.76
2025-11-29,120.41
2025-11-30,122.2
2025-12-01,122.76
2025-12-02,121.32
2025-12-03,120.55
2025-12-04,120.11
2025-12-05,120.54
2025-12-06,120.03
2025-12-07,121.44
2025-12-08,121.02
2025-12-09,122.61
2025-12-10,122.02
2025-12-11,123.39
2025-12-12,123.64
2025-12-13,125.1
2025-12-14,127.09
2025-12-15,128.88
2025-12-16,129.98
2025-12-17,129.32
2025-12-18,128.6
2025-12-19,125.55
2025-12-20,127.08
2025-12-21,128.41
2025-12-22,129.51
2025-12-23,128.49
2025-12-24,131.3
2025-12-25,130.74
2025-12-26,131.7
2025-12-27,130.2
2025-12-28,129.7
2025-12-29,131.02
2025-12-30,132.15
2025-12-31,131.19
